V1	V2	weight	condition
MTRNR2L8	SH2D2A	1	non-differential
MTRNR2L8	MTRNR2L12	1	non-differential
MTRNR2L8	AC090498.1	1	non-differential
MTRNR2L8	SRGN	1	non-differential
MTRNR2L8	RPS29	1	non-differential
MTRNR2L8	SSR4	1	non-differential
MTRNR2L8	NINJ1	1	non-differential
MTRNR2L8	DNAJC9	1	non-differential
MTRNR2L8	CRIP1	1	non-differential
MTRNR2L8	CD247	1	non-differential
HLA-DRA	HLA-DQB1	1	non-differential
CXCL13	GLA	1	non-differential
CXCL13	CMC1	1	non-differential
CXCL13	OAT	1	non-differential
CXCL13	NAA38	1	non-differential
MT1E	MT2A	1	non-differential
MT1E	FTH1	1	non-differential
MT1E	SYTL3	1	non-differential
MT1E	JUND	1	non-differential
HLA-DQA1	HLA-DQB1	1	non-differential
HLA-DRB1	HLA-DQB1	1	non-differential
HLA-DRB1	CREM	1	non-differential
HLA-DQB1	SYNGR2	1	non-differential
HLA-DQB1	VIM	1	non-differential
HLA-DQB1	HLA-E	1	non-differential
HLA-DQB1	TNFAIP8	1	non-differential
FTH1	HIST1H4C	1	non-differential
FTH1	AC090498.1	1	non-differential
FTH1	RBM3	1	non-differential
HLA-DPB1	HLA-DPA1	1	non-differential
HLA-DPB1	HLA-A	1	non-differential
GZMB	CTSW	1	non-differential
GZMB	CTSA	1	non-differential
GZMB	LCP1	1	non-differential
HLA-DPA1	NDRG1	1	non-differential
HLA-DPA1	DNAJC1	1	non-differential
HLA-DRB5	TUBB	1	non-differential
HLA-DRB5	SARAF	1	non-differential
HLA-A	HLA-B	1	non-differential
HLA-A	RPS29	1	non-differential
CXCR4	HSPA5	1	non-differential
CXCR4	GALNT2	1	non-differential
CXCR4	CDC42EP3	1	non-differential
CD8A	DNAJB1	1	non-differential
CD8A	BID	1	non-differential
CD8A	ABLIM1	1	non-differential
CD8A	STAT3	1	non-differential
HIST1H4C	GGA2	1	non-differential
HIST1H4C	CXCR3	1	non-differential
CD83	APOBEC3G	1	non-differential
HLA-C	HLA-B	1	non-differential
HLA-C	H2AFX	1	non-differential
HLA-C	TESC	1	non-differential
STMN1	AQP3	1	non-differential
STMN1	LY6E	1	non-differential
STMN1	PIK3IP1	1	non-differential
MT1X	CD69	1	non-differential
MT1X	ISG15	1	non-differential
MT1X	ID2	1	non-differential
MT1X	GZMM	1	non-differential
MT1X	ABLIM1	1	non-differential
GZMK	CCL5	1	non-differential
GZMK	TRAF1	1	non-differential
GZMK	LMNB1	1	non-differential
DUSP2	CLEC2B	1	non-differential
DUSP2	NINJ1	1	non-differential
DUSP2	TSC22D3	1	non-differential
DUSP2	MGST3	1	non-differential
SAT1	LTB	1	non-differential
SAT1	AKNA	1	non-differential
SAT1	IER2	1	non-differential
NKG7	CKS2	1	non-differential
NKG7	TXNRD1	1	non-differential
NKG7	RPL13A	1	non-differential
CCR7	MAP3K8	1	non-differential
CCR7	NDRG1	1	non-differential
CCR7	IGFLR1	1	non-differential
CCR7	MVD	1	non-differential
ZFP36	TNFAIP3	1	non-differential
ZFP36	LGALS3	1	non-differential
ZFP36	SQSTM1	1	non-differential
DUSP4	PDE4B	1	non-differential
DUSP4	SLC7A5	1	non-differential
DUSP4	JUND	1	non-differential
DUSP4	YWHAH	1	non-differential
HSPB1	GZMA	1	non-differential
HSPB1	LGALS3	1	non-differential
HSPB1	SEMA4D	1	non-differential
ACTB	ATP1B3	1	non-differential
ACTB	CD5	1	non-differential
ACTB	GALM	1	non-differential
LGALS1	TSPYL2	1	non-differential
LGALS1	SRGN	1	non-differential
LGALS1	MAGED2	1	non-differential
LGALS1	LMBRD1	1	non-differential
GPR183	AKNA	1	non-differential
GPR183	FAM50A	1	non-differential
MT1F	GGA2	1	non-differential
TXN	RARRES3	1	non-differential
TXN	BID	1	non-differential
CARD16	SYAP1	1	non-differential
RGS2	BTG1	1	non-differential
RGS2	PRKX	1	non-differential
RGS2	STAM	1	non-differential
RGS2	CDK4	1	non-differential
RGS1	GPX4	1	non-differential
SLA2	CMC1	1	non-differential
GADD45B	DDIT4	1	non-differential
GADD45B	CD44	1	non-differential
BTG1	FOSL2	1	non-differential
SH2D2A	SPTBN1	1	non-differential
TUBA1B	PLIN2	1	non-differential
TUBA1B	TOM1	1	non-differential
TIGIT	ITM2C	1	non-differential
TIGIT	GPCPD1	1	non-differential
TIGIT	AHNAK	1	non-differential
TIGIT	SLC1A4	1	non-differential
GK	GPCPD1	1	non-differential
GK	SQSTM1	1	non-differential
GK	TSC22D3	1	non-differential
GK	RASGRP1	1	non-differential
GK	TGFBR2	1	non-differential
HLA-B	SDCBP	1	non-differential
