V1	V2	weight
MTRNR2L8	SH2D2A	1
MTRNR2L8	MTRNR2L12	1
MTRNR2L8	AC090498.1	1
MTRNR2L8	SRGN	1
MTRNR2L8	RPS29	1
MTRNR2L8	SSR4	1
MTRNR2L8	NINJ1	1
MTRNR2L8	DNAJC9	1
MTRNR2L8	CRIP1	1
MTRNR2L8	CD247	1
HLA-DRA	HLA-DQB1	1
CXCL13	GLA	1
CXCL13	CMC1	1
CXCL13	OAT	1
CXCL13	NAA38	1
MT1E	MT2A	1
MT1E	FTH1	1
MT1E	SYTL3	1
MT1E	JUND	1
HLA-DQA1	HLA-DQB1	1
HLA-DRB1	HLA-DQB1	1
HLA-DRB1	CREM	1
HLA-DQB1	SYNGR2	1
HLA-DQB1	VIM	1
HLA-DQB1	HLA-E	1
HLA-DQB1	TNFAIP8	1
FTH1	HIST1H4C	1
FTH1	AC090498.1	1
FTH1	RBM3	1
HLA-DPB1	HLA-DPA1	1
HLA-DPB1	HLA-A	1
GZMB	CTSW	1
GZMB	CTSA	1
GZMB	LCP1	1
HLA-DPA1	NDRG1	1
HLA-DPA1	DNAJC1	1
HLA-DRB5	TUBB	1
HLA-DRB5	SARAF	1
HLA-A	HLA-B	1
HLA-A	RPS29	1
CXCR4	HSPA5	1
CXCR4	GALNT2	1
CXCR4	CDC42EP3	1
CD8A	DNAJB1	1
CD8A	BID	1
CD8A	ABLIM1	1
CD8A	STAT3	1
HIST1H4C	GGA2	1
HIST1H4C	CXCR3	1
CD83	APOBEC3G	1
HLA-C	HLA-B	1
HLA-C	H2AFX	1
HLA-C	TESC	1
STMN1	AQP3	1
STMN1	LY6E	1
STMN1	PIK3IP1	1
MT1X	CD69	1
MT1X	ISG15	1
MT1X	ID2	1
MT1X	GZMM	1
MT1X	ABLIM1	1
GZMK	CCL5	1
GZMK	TRAF1	1
GZMK	LMNB1	1
DUSP2	CLEC2B	1
DUSP2	NINJ1	1
DUSP2	TSC22D3	1
DUSP2	MGST3	1
SAT1	LTB	1
SAT1	AKNA	1
SAT1	IER2	1
NKG7	CKS2	1
NKG7	TXNRD1	1
NKG7	RPL13A	1
CCR7	MAP3K8	1
CCR7	NDRG1	1
CCR7	IGFLR1	1
CCR7	MVD	1
ZFP36	TNFAIP3	1
ZFP36	LGALS3	1
ZFP36	SQSTM1	1
DUSP4	PDE4B	1
DUSP4	SLC7A5	1
DUSP4	JUND	1
DUSP4	YWHAH	1
HSPB1	GZMA	1
HSPB1	LGALS3	1
HSPB1	SEMA4D	1
ACTB	ATP1B3	1
ACTB	CD5	1
ACTB	GALM	1
LGALS1	TSPYL2	1
LGALS1	SRGN	1
LGALS1	MAGED2	1
LGALS1	LMBRD1	1
GPR183	AKNA	1
GPR183	FAM50A	1
MT1F	GGA2	1
TXN	RARRES3	1
TXN	BID	1
CARD16	SYAP1	1
RGS2	BTG1	1
RGS2	PRKX	1
RGS2	STAM	1
RGS2	CDK4	1
RGS1	GPX4	1
SLA2	CMC1	1
GADD45B	DDIT4	1
GADD45B	CD44	1
BTG1	FOSL2	1
SH2D2A	SPTBN1	1
TUBA1B	PLIN2	1
TUBA1B	TOM1	1
TIGIT	ITM2C	1
TIGIT	GPCPD1	1
TIGIT	AHNAK	1
TIGIT	SLC1A4	1
GK	GPCPD1	1
GK	SQSTM1	1
GK	TSC22D3	1
GK	RASGRP1	1
GK	TGFBR2	1
HLA-B	SDCBP	1
CTSW	BID	1
CTSW	FAM50A	1
LAG3	ITGA4	1
SOX4	CPNE3	1
SOX4	NEAT1	1
SOX4	SLC16A3	1
SOX4	ITGA4	1
SLC2A3	RPS29	1
SLC2A3	DYNLT3	1
DUT	HLA-E	1
DUT	SQSTM1	1
DUT	TIMM13	1
DUT	KIF22	1
MTRNR2L12	RARRES3	1
MTRNR2L12	SYTL3	1
MTRNR2L12	OASL	1
DUSP1	SPOCK2	1
DUSP1	PCED1B	1
ACP5	SETD2	1
ACP5	CSRNP1	1
ACP5	PBXIP1	1
ACP5	MVP	1
S100A4	CTSC	1
S100A4	MVD	1
CXCR6	IL7R	1
TNFRSF4	CTSA	1
TUBB	GTF3A	1
ZNF331	CCND2	1
AQP3	SYTL3	1
AQP3	TPM4	1
AQP3	LAMP1	1
PFN1	HERPUD1	1
PFN1	HMGN2	1
PFN1	IRF7	1
AC092580.4	DCP1B	1
AC092580.4	SARAF	1
AC092580.4	AHNAK	1
HERPUD1	AK6	1
HERPUD1	IL16	1
SERPINB9	SOCS1	1
PIK3R1	LITAF	1
PIK3R1	SEMA4D	1
PIK3R1	CTSA	1
ZFP36L2	LGALS3	1
ZFP36L2	CD37	1
IL7R	ANXA1	1
IL7R	FYN	1
IFI6	ISG15	1
IFI6	LAMP1	1
IFI6	TGFBR2	1
AC090498.1	RASGRP1	1
PRF1	ACTG1	1
PRF1	NHP2	1
GGA2	POGLUT1	1
GGA2	RABAC1	1
ATP1B3	HSPA5	1
ATP1B3	SPTAN1	1
ATP1B3	JUND	1
ATP1B3	CTSA	1
JUN	TSHZ2	1
NR4A2	GIMAP4	1
NR4A2	EIF4A1	1
NR4A2	TGFBR2	1
NR4A2	PIK3IP1	1
LTB	RPS27	1
LTB	CORO1B	1
LTB	FAM118A	1
GZMA	CTSS	1
CD96	PRELID1	1
SERPINB1	NAA38	1
SESN3	LCP1	1
ANXA1	SDCBP	1
CXCR3	CD5	1
CXCR3	HMGB1	1
CXCR3	NCDN	1
CXCR3	SYPL1	1
CXCR3	CD48	1
RPS27	HMGB1	1
PFKFB3	CTLA4	1
PFKFB3	FAM65B	1
PIM2	PTGER4	1
RARRES3	SETD2	1
RARRES3	GMFG	1
RARRES3	GPR171	1
CST7	C12ORF75	1
CST7	MGST3	1
TSPYL2	ABLIM1	1
TSPYL2	TPM4	1
TSPYL2	PBXIP1	1
TSPYL2	SUN2	1
TSPYL2	NFKB1	1
GABARAPL1	MALAT1	1
GABARAPL1	TUBA4A	1
GABARAPL1	DNMT1	1
HLA-DMA	SMC4	1
HLA-DMA	ITGAE	1
JUNB	NINJ1	1
JUNB	CSRNP1	1
JUNB	SRSF3	1
JUNB	OAT	1
C12ORF75	GALNT2	1
C12ORF75	TPM4	1
C12ORF75	HSP90B1	1
C12ORF75	DOK2	1
HSP90AA1	SYTL3	1
REL	LDLRAD4	1
SYTL3	TSHZ2	1
SYTL3	CCNDBP1	1
FYN	CCNDBP1	1
FYN	EIF4A1	1
RPS2	ACTG1	1
RPS2	JAML	1
NR3C1	BIRC2	1
PTPRC	PKM	1
PTPRC	CD63	1
PTPRC	SPOCK2	1
SETD2	MIR4435-2HG	1
H2AFZ	SNRPD1	1
H2AFZ	SPOCK2	1
H2AFZ	PIK3IP1	1
H2AFZ	G6PD	1
ACTG1	CDC25B	1
RNF19A	APLP2	1
RNF19A	IL10RA	1
RNF19A	FAM46C	1
RNF19A	BAX	1
SRGN	LITAF	1
MT-ATP8	RPL4	1
MT-ATP8	MGST3	1
STAT4	WARS	1
STAT4	SLC16A3	1
STAT4	PARP8	1
STAT4	IRF7	1
STAT4	MALT1	1
STAT4	NFKB2	1
ITM2C	MT-ND3	1
ITM2C	CD63	1
ITM2C	TOM1	1
FTL	TXNRD1	1
FTL	TSC22D3	1
FTL	TIMM10	1
RPS29	TSC22D3	1
RPS29	NAA38	1
TUBA1C	PITPNC1	1
TUBA1C	SYPL1	1
TUBA1C	DEK	1
BATF	EIF4A1	1
TMSB10	GLRX	1
HSPA5	PPA1	1
ABCG1	IL32	1
ABCG1	NAMPT	1
ABCG1	GPX4	1
TNFAIP3	AC133644.2	1
TNFAIP3	ARID5A	1
IL32	PTRHD1	1
IL32	PRNP	1
SSR4	SLC7A5	1
SSR4	FAM107B	1
SSR4	SEC11C	1
SSR4	FAM50A	1
SATB1	CMTM7	1
SATB1	CHD2	1
CKS2	BAZ1A	1
CKS2	CTLA4	1
CKS2	COTL1	1
CKS2	KPNA2	1
TBC1D4	CTSB	1
LGALS3	TMPO	1
LGALS3	CTSB	1
LGALS3	LINC00152	1
LGALS3	SRSF3	1
LGALS3	MAP1LC3A	1
LGALS3	TIMM13	1
RPLP0	SPTBN1	1
RPLP0	GPX4	1
CD7	GLRX	1
CD7	SYTL2	1
CD7	CHCHD10	1
CD5	IL16	1
CD5	RABAC1	1
CD5	ARHGEF7	1
AKNA	CBLB	1
FAM177A1	TRBC1	1
FAM177A1	BHLHE40	1
STAT5A	AC133644.2	1
OASL	DNAJC1	1
OASL	LCP1	1
TMEM2	DDIT4	1
TMEM2	TSHZ2	1
SYAP1	ARHGAP9	1
SYAP1	LMNB1	1
MIR4435-2HG	LIMA1	1
MIR4435-2HG	RASAL3	1
DDIT4	ABLIM1	1
DDIT4	S1PR1	1
DDIT4	SPOCK2	1
AC133644.2	CDC25B	1
AC133644.2	PTP4A1	1
AC133644.2	PIM3	1
GLA	RALGAPA1	1
GALNT2	ENTPD1	1
GALNT2	ITGAE	1
SAMSN1	PTGER4	1
SAMSN1	CRIP1	1
SAMSN1	DOK2	1
ID2	APMAP	1
ID2	RHBDF2	1
ID2	HSP90B1	1
H2AFX	TXNRD1	1
H2AFX	IL4R	1
LITAF	IRF2BP2	1
GPCPD1	PTGER4	1
GPCPD1	TRAF1	1
GPCPD1	ITGA4	1
RGCC	CHST12	1
RGCC	TNFAIP8	1
TRAF3IP3	TESC	1
TRAF3IP3	CTSA	1
MALAT1	GSTP1	1
CORO1B	IL4R	1
CORO1B	PMVK	1
CORO1B	TOM1	1
TRBC1	IER2	1
TRBC1	ANKRD10	1
TRBC1	NUDT5	1
IL2RB	SYNGR2	1
IL2RB	CD6	1
IL2RB	POLR3E	1
CYSTM1	DCP1B	1
CYSTM1	RAB11FIP1	1
CYSTM1	RHBDD2	1
WARS	SQSTM1	1
WARS	MTHFD2	1
ICOS	RPL4	1
RPL41	SARAF	1
SRSF7	BHLHE40	1
SRSF7	PSAP	1
SRSF7	CLEC2D	1
ENTPD1	DUSP16	1
LY6E	NHP2	1
LY6E	PTMS	1
ARHGAP9	YIPF5	1
INSIG1	IL21R	1
CPNE3	RALGAPA1	1
CPNE3	ITGAE	1
CLEC2B	ARID5A	1
YPEL5	GAPDH	1
YPEL5	NAA38	1
S100A6	C1QBP	1
TNFRSF25	PMAIP1	1
TNFRSF25	EMP3	1
TNFRSF25	FAM46C	1
TUBA4A	EZR	1
TUBA4A	VIM	1
TUBA4A	RBM3	1
TUBA4A	GTF3A	1
TUBA4A	IL4R	1
TUBA4A	SLC9A3R1	1
APOBEC3G	PRKX	1
APOBEC3G	JOSD1	1
EZR	CDC25B	1
EZR	TPM4	1
SYNGR2	NEAT1	1
SYNGR2	SOCS1	1
SYNGR2	PTMS	1
CCND2	PBXIP1	1
CCND2	CTSS	1
PTTG1	CMTM7	1
UCP2	STAT3	1
UCP2	PTP4A1	1
GBP4	CMC1	1
GBP4	NDRG1	1
GBP4	TIMM10	1
PBX4	AK6	1
TGFB1	LAMP1	1
TGFB1	SARAF	1
TGFB1	PLIN2	1
TGFB1	ARAP2	1
CMIP	TOM1	1
FOSL2	MRPL11	1
FOSL2	CDC42EP3	1
RALGAPA1	UPP1	1
RALGAPA1	PABPC1	1
ATP5G1	CBLB	1
ATP5G1	AHNAK	1
EML4	TPM4	1
EML4	ADGRE5	1
ABLIM1	SARAF	1
ABLIM1	ASAH1	1
ABLIM1	DNAJB9	1
ABLIM1	CDK4	1
ABLIM1	YBX1	1
LDLRAD4	GTF3A	1
HTATIP2	OAT	1
PMAIP1	PPP1R16B	1
PMAIP1	TNFSF10	1
PMAIP1	SMS	1
PMAIP1	OFD1	1
PPA1	FOXP1	1
PPA1	NUDT5	1
CDC25B	NAMPT	1
PRKX	SDCBP	1
PDCD1	SNRPN	1
RBM3	C1QBP	1
JAML	FAM107B	1
JAML	DNAJC1	1
PRELID1	TESC	1
PTGER4	BIRC2	1
POR	SLC16A3	1
MAGED2	SRSF3	1
MAGED2	PRNP	1
AHI1	TNFSF10	1
AHI1	DDX3Y	1
AHI1	BAX	1
VPS37B	CTSB	1
HLA-E	HNRNPAB	1
HLA-E	IL4R	1
HLA-E	ARHGEF7	1
HLA-E	ITGAE	1
ITM2A	CD53	1
SNRPN	ANKRD10	1
SNRPN	LMBRD1	1
SNRPN	NUCKS1	1
LYST	SDF2L1	1
LYST	LMNB1	1
LYST	BAZ1A	1
LAPTM4A	FAM46C	1
CMC1	CDKN1B	1
CMC1	LCP1	1
SDF2L1	LMBRD1	1
APMAP	SMC4	1
APMAP	ANXA2	1
APMAP	BAX	1
NFKBIZ	GYG1	1
PARP8	GPR171	1
PARP8	ATF4	1
SLC7A5	PDCD5	1
SLC7A5	NUCKS1	1
GLIPR1	BAX	1
P2RY10	SPTBN1	1
P2RY10	MRPL11	1
PTPRCAP	LIMA1	1
PTPRCAP	C17ORF89	1
SMCHD1	IKZF3	1
AK6	CHMP1B	1
AK6	PLIN2	1
AK6	CDK4	1
TPM4	GRAMD1A	1
PPP1R16B	PEA15	1
SPTAN1	TGFBR2	1
STAT3	SQSTM1	1
STAT3	SRSF3	1
STAT3	NDRG1	1
IL10RA	GIMAP4	1
IL10RA	LIMS1	1
IL10RA	ELL2	1
CBLB	BAZ1A	1
CBLB	GAPDH	1
LAMP1	TSC22D3	1
CD55	USP1	1
SH2D1A	CD6	1
CHMP1B	NDRG1	1
CHMP1B	NFATC2	1
RANBP1	NHP2	1
RANBP1	PIK3IP1	1
DUSP16	PCED1B	1
DUSP16	KIAA0319L	1
GIMAP4	CD53	1
GIMAP4	NUDT5	1
TRAF1	HMGB1	1
TRAF1	GAPDH	1
ARID5A	SQSTM1	1
CSRNP1	BCL2L11	1
GPX1	POGLUT1	1
MRPL11	SLC1A4	1
PKM	LEPROTL1	1
PKM	ANXA2	1
PKM	ANP32B	1
RALA	FAM118A	1
ASMTL	CD247	1
UBA1	RHBDF2	1
UBA1	RAB11FIP1	1
RHBDF2	PPT1	1
LEPROTL1	POLR3E	1
CHCHD10	LSM4	1
CHCHD10	CD37	1
GTF3A	PMVK	1
CD6	SUN2	1
CD6	STAM	1
CD6	DOK2	1
FAM118A	XAB2	1
FAM118A	PTRHD1	1
PBXIP1	KDM6B	1
PBXIP1	BTN3A2	1
SUN2	CD63	1
LIMS1	DYNLT3	1
LIMS1	PDE4D	1
TNFSF10	STAT5B	1
ANKRD10	DNAJB9	1
JUND	PRDX3	1
TSC22D3	ASAH1	1
TSC22D3	SLC9A3R1	1
AUTS2	STAM	1
MATR3.1	BAZ1A	1
MATR3.1	DYNLT3	1
MATR3.1	G6PD	1
YWHAH	SRSF3	1
YWHAH	OAT	1
YWHAH	CDK4	1
YWHAH	ARAP2	1
BCL2L11	PTMS	1
ADAM8	HSD17B11	1
BAZ1A	KPNA2	1
POLR3E	NFKB1	1
DNAJC9	UPP1	1
DNAJC9	RASGRP1	1
TXNIP	ZEB2	1
MTHFD2	MAP3K8	1
MTHFD2	RABAC1	1
ZC3H12A	MAP3K8	1
ZC3H12A	CMTM7	1
CDKN1B	TIMM13	1
SNX9	EVL	1
HMGB1	CBX3	1
TNFAIP8	NAA38	1
SMS	CDK16	1
RAB11FIP1	RFTN1	1
SPOCK2	CD48	1
LINC00152	EIF4A1	1
IRF7	MAP1LC3A	1
SRSF3	RABAC1	1
SRSF3	EIF4A1	1
PDE4D	USP1	1
MAP3K8	CDK4	1
NFKB2	SLC9A3R1	1
NFKB2	PABPC1	1
UPP1	NUDT5	1
UPP1	ARHGEF7	1
RFTN1	CHD2	1
MVP	KPNA2	1
GAPDH	RPL4	1
CTSS	ANP32B	1
FAM46C	NDRG1	1
FAM46C	DNAJB9	1
